Id,Street Number,Street
61,1529, Shepherd Haven
91,5668, Flint Highway
81,4751, Parkwood Fields
77,7884, Bloomfield Wood
80,7655, Hall Meadow Road
21,8765, Frobisher Limes
68,1932, Buckle Drive
80,7735, Rodney Villas
71,6989, Florey Gardens
3,5603,Mary Cottages
11,8593,East Moor Lane
11,8606,Scholars By-Pass
9,7718,Yew Meadow
54,8615,Pipers Top
11,8358,Acer Parc
14,1383,Mallow Lea
45,4261,Knaves Hill
94,2293,Higham Pastures
27,8935,Ward Croft
14,5235,Violet Parkway
18,2794,Wolsey Cedars
34,8654,Cowper Mead
79,6065,Holden Loan
65,4277,Ripon Paddocks
45,7957,Romsey Laurels
12,8516,Appleton Esplanade
61,2187,Strawberry Common
10,7100,Westwood Hall
23,4266,Midland Manor
92,8373,Lynn Parkway
72,1860,Jackson Downs
23,5087,Marston Barton
64,2389,Plantation Park
7,5053,Princess Mews
74,2730,Hook Gate
39,1083,Furze Terrace
64,7299,Shelley Moor
90,3089,Stevens Common
95,7871,Hinton Lanes
17,3734,Portland Place
87,2454,Woods Edge
18,6638,Doncaster Boulevard
51,2536,Chepstow Chase
28,6932,Glastonbury Promenade
57,3555,Milner Top
100,7006,Flint Gait
13,1921,Shore Dene
5,2103,Slawston Road
37,5038,Corals Mead
84,2263,Montgomery Circus
82,6245,Windmill Spinney
37,3635,Colegrave Road
15,6361,Holm Village
93,1149,Cole Hawthorns
22,3500,New College Drive
44,8589,Penrith Knoll
38,7267,Cemetery Garden
36,3384,Mostyn Fold
98,6465,Laxton Circus
33,8885,Charlotte Royd
81,5602,Crookings Lane
6,8726,Exmouth Fields
25,3085,Highfield Parade
79,3484,Higher Side
71,1874,Bryony Ground
97,3550,Dunlop Parade
64,6079,Morland Brambles
48,3661,Great Bounds Drive
18,3648,Mount Pleasant Meadows
41,6409,Bramble Lawn
27,4636,Harbin Road
46,6266,Stevens Hollies
78,5990,Bradley Crest
14,6993,Eastwood Moorings
57,4347,Croasdale Avenue
28,3973,Roebuck Park
55,5562,Spicer Road
19,6107,Maytime Close
89,2991,Beck Bridge Close
99,3799,Mason Laurels
17,5603,Bank Moor
12,5701,St Martins Laurels
98,1570,Mostyn Terrace
88,7780,Stuart Maccullum Close
83,6898,Wright Wynd
100,3732,Inglewood Royd
22,8002,Southfield North
74,4483,Wike Ridge Fold
97,4003,Curzon Green
15,2517,Keats Pleasant
93,7117,Bourne Links
8,3126,Knox Warren
54,8347,Marlow Villas
21,5508,Cobden Coppice
81,5141,Somerset Leaze
67,5385,Warrington Oaks
23,4465,Nickel Street
100,3786,Bath Leaze
99,5572,Margaret Ridings
,,0Silksworth Row
